model,corpus,wl,item,realized_words,fail_retained,decision_correct,which_correct
haiku,incident,5,v5item00,6,False,False,False
haiku,incident,5,v5item01,6,False,True,False
haiku,incident,5,v5item03,8,False,True,False
haiku,incident,5,v5item06,6,False,False,False
haiku,incident,5,v5item07,7,False,True,False
haiku,incident,5,v5item09,8,True,True,True
haiku,incident,5,v5item10,9,False,False,False
haiku,incident,5,v5item11,7,False,False,False
haiku,incident,5,v5item12,6,False,False,False
haiku,incident,5,v5item15,7,False,True,False
haiku,incident,5,v5item19,6,False,False,False
haiku,incident,5,v5item21,7,False,False,False
haiku,incident,5,v5item22,6,False,False,False
haiku,incident,5,v5item23,6,False,False,False
haiku,incident,5,v5item24,6,False,False,False
haiku,incident,5,v5item25,6,False,True,False
haiku,incident,5,v5item26,7,False,True,False
haiku,incident,5,v5item27,6,False,True,False
haiku,incident,5,v5item30,6,False,False,False
haiku,incident,5,v5item32,7,False,False,False
haiku,incident,5,v5item34,7,False,False,False
haiku,incident,5,v5item36,6,False,False,False
haiku,incident,5,v5item37,7,False,True,False
haiku,incident,5,v5item39,7,False,True,False
haiku,incident,5,v5item41,8,False,False,False
haiku,incident,5,v5item44,6,False,True,False
haiku,incident,5,v5item48,6,False,True,False
haiku,incident,5,v5item49,6,False,True,False
haiku,incident,5,v5item53,6,False,False,False
haiku,incident,5,v5item55,7,False,False,False
haiku,incident,10,v5item00,11,False,False,False
haiku,incident,10,v5item01,14,False,True,False
haiku,incident,10,v5item03,12,False,True,False
haiku,incident,10,v5item06,12,False,True,False
haiku,incident,10,v5item07,11,False,True,False
haiku,incident,10,v5item09,13,True,True,True
haiku,incident,10,v5item10,16,False,True,False
haiku,incident,10,v5item11,14,False,False,False
haiku,incident,10,v5item12,11,False,True,False
haiku,incident,10,v5item15,11,False,True,False
haiku,incident,10,v5item19,14,False,False,False
haiku,incident,10,v5item21,10,False,True,False
haiku,incident,10,v5item22,14,False,True,True
haiku,incident,10,v5item23,14,False,True,False
haiku,incident,10,v5item24,12,False,True,False
haiku,incident,10,v5item25,12,False,True,False
haiku,incident,10,v5item26,13,False,True,False
haiku,incident,10,v5item27,11,False,True,False
haiku,incident,10,v5item30,12,False,True,False
haiku,incident,10,v5item32,20,False,True,False
haiku,incident,10,v5item34,13,False,False,False
haiku,incident,10,v5item36,13,False,True,False
haiku,incident,10,v5item37,12,False,True,False
haiku,incident,10,v5item39,12,False,True,False
haiku,incident,10,v5item41,13,False,True,False
haiku,incident,10,v5item44,12,False,True,False
haiku,incident,10,v5item48,14,False,True,False
haiku,incident,10,v5item49,12,False,True,False
haiku,incident,10,v5item53,14,False,True,False
haiku,incident,10,v5item55,14,False,True,False
haiku,incident,15,v5item00,22,True,True,True
haiku,incident,15,v5item01,17,False,True,False
haiku,incident,15,v5item03,23,True,True,True
haiku,incident,15,v5item06,15,False,True,False
haiku,incident,15,v5item07,17,False,True,False
haiku,incident,15,v5item09,17,True,True,True
haiku,incident,15,v5item10,20,False,True,False
haiku,incident,15,v5item11,18,False,True,False
haiku,incident,15,v5item12,20,True,True,True
haiku,incident,15,v5item15,19,False,True,False
haiku,incident,15,v5item19,18,False,True,False
haiku,incident,15,v5item21,14,False,True,False
haiku,incident,15,v5item22,20,True,True,True
haiku,incident,15,v5item23,21,False,True,False
haiku,incident,15,v5item24,22,False,True,False
haiku,incident,15,v5item25,16,False,True,False
haiku,incident,15,v5item26,18,False,True,False
haiku,incident,15,v5item27,25,False,False,False
haiku,incident,15,v5item30,16,False,True,False
haiku,incident,15,v5item32,20,False,True,False
haiku,incident,15,v5item34,17,False,False,False
haiku,incident,15,v5item36,20,True,True,False
haiku,incident,15,v5item37,25,True,True,True
haiku,incident,15,v5item39,16,False,True,False
haiku,incident,15,v5item41,18,False,True,False
haiku,incident,15,v5item44,18,False,True,False
haiku,incident,15,v5item48,19,False,True,False
haiku,incident,15,v5item49,18,False,True,False
haiku,incident,15,v5item53,18,False,True,False
haiku,incident,15,v5item55,21,False,True,False
haiku,incident,25,v5item00,27,True,True,True
haiku,incident,25,v5item01,25,False,True,False
haiku,incident,25,v5item03,44,True,True,True
haiku,incident,25,v5item06,29,False,True,False
haiku,incident,25,v5item07,30,False,False,False
haiku,incident,25,v5item09,29,True,True,True
haiku,incident,25,v5item10,38,True,True,False
haiku,incident,25,v5item11,46,True,True,True
haiku,incident,25,v5item12,31,True,True,True
haiku,incident,25,v5item15,29,False,True,False
haiku,incident,25,v5item19,27,True,True,True
haiku,incident,25,v5item21,33,True,True,False
haiku,incident,25,v5item22,31,True,True,True
haiku,incident,25,v5item23,42,True,True,True
haiku,incident,25,v5item24,31,True,True,True
haiku,incident,25,v5item25,29,False,True,False
haiku,incident,25,v5item26,36,False,True,False
haiku,incident,25,v5item27,48,True,True,True
haiku,incident,25,v5item30,38,False,True,False
haiku,incident,25,v5item32,55,False,False,False
haiku,incident,25,v5item34,28,False,False,False
haiku,incident,25,v5item36,28,True,True,False
haiku,incident,25,v5item37,37,True,True,True
haiku,incident,25,v5item39,28,False,True,False
haiku,incident,25,v5item41,34,True,True,True
haiku,incident,25,v5item44,27,False,True,False
haiku,incident,25,v5item48,36,False,True,False
haiku,incident,25,v5item49,26,False,True,False
haiku,incident,25,v5item53,30,False,True,False
haiku,incident,25,v5item55,24,False,True,False
haiku,incident,40,v5item00,61,True,True,True
haiku,incident,40,v5item01,42,False,True,False
haiku,incident,40,v5item03,48,True,True,True
haiku,incident,40,v5item06,58,False,True,False
haiku,incident,40,v5item07,40,False,False,False
haiku,incident,40,v5item09,60,True,True,True
haiku,incident,40,v5item10,50,True,True,False
haiku,incident,40,v5item11,50,True,True,True
haiku,incident,40,v5item12,52,True,True,True
haiku,incident,40,v5item15,49,False,True,False
haiku,incident,40,v5item19,56,True,True,True
haiku,incident,40,v5item21,53,False,True,False
haiku,incident,40,v5item22,56,True,True,True
haiku,incident,40,v5item23,64,True,True,True
haiku,incident,40,v5item24,48,True,True,True
haiku,incident,40,v5item25,52,True,True,True
haiku,incident,40,v5item26,48,False,True,False
haiku,incident,40,v5item27,57,False,True,False
haiku,incident,40,v5item30,48,False,True,False
haiku,incident,40,v5item32,71,False,True,False
haiku,incident,40,v5item34,57,False,True,False
haiku,incident,40,v5item36,47,True,True,False
haiku,incident,40,v5item37,51,True,True,True
haiku,incident,40,v5item39,54,True,True,False
haiku,incident,40,v5item41,56,True,True,True
haiku,incident,40,v5item44,55,True,True,False
haiku,incident,40,v5item48,54,True,True,True
haiku,incident,40,v5item49,41,False,True,False
haiku,incident,40,v5item53,61,True,True,True
haiku,incident,40,v5item55,55,True,True,True
haiku,incident,60,v5item00,60,True,True,True
haiku,incident,60,v5item01,56,False,False,False
haiku,incident,60,v5item03,63,True,True,True
haiku,incident,60,v5item06,75,False,False,False
haiku,incident,60,v5item07,60,False,False,False
haiku,incident,60,v5item09,61,True,True,True
haiku,incident,60,v5item10,81,True,True,False
haiku,incident,60,v5item11,76,True,True,True
haiku,incident,60,v5item12,67,True,True,True
haiku,incident,60,v5item15,55,False,True,False
haiku,incident,60,v5item19,73,True,True,True
haiku,incident,60,v5item21,71,False,False,False
haiku,incident,60,v5item22,57,True,True,True
haiku,incident,60,v5item23,68,True,True,True
haiku,incident,60,v5item24,74,True,True,True
haiku,incident,60,v5item25,74,True,True,True
haiku,incident,60,v5item26,63,False,False,False
haiku,incident,60,v5item27,74,True,False,False
haiku,incident,60,v5item30,80,False,False,False
haiku,incident,60,v5item32,77,False,True,False
haiku,incident,60,v5item34,67,False,False,False
haiku,incident,60,v5item36,71,True,True,True
haiku,incident,60,v5item37,69,True,True,True
haiku,incident,60,v5item39,74,True,True,False
haiku,incident,60,v5item41,67,True,True,True
haiku,incident,60,v5item44,59,False,True,False
haiku,incident,60,v5item48,77,True,True,True
haiku,incident,60,v5item49,64,False,True,False
haiku,incident,60,v5item53,66,False,False,False
haiku,incident,60,v5item55,73,True,True,True
haiku,incident,80,v5item00,77,True,True,True
haiku,incident,80,v5item01,83,False,False,False
haiku,incident,80,v5item03,75,True,True,True
haiku,incident,80,v5item06,92,True,True,True
haiku,incident,80,v5item07,69,False,False,False
haiku,incident,80,v5item09,67,True,True,True
haiku,incident,80,v5item10,90,True,True,False
haiku,incident,80,v5item11,91,True,True,True
haiku,incident,80,v5item12,71,True,True,True
haiku,incident,80,v5item15,87,False,False,False
haiku,incident,80,v5item19,86,True,True,True
haiku,incident,80,v5item21,76,False,True,False
haiku,incident,80,v5item22,83,True,True,False
haiku,incident,80,v5item23,75,True,True,True
haiku,incident,80,v5item24,86,True,True,False
haiku,incident,80,v5item25,76,True,True,True
haiku,incident,80,v5item26,77,False,False,False
haiku,incident,80,v5item27,84,True,True,True
haiku,incident,80,v5item30,86,False,False,False
haiku,incident,80,v5item32,95,False,False,False
haiku,incident,80,v5item34,77,False,False,False
haiku,incident,80,v5item36,90,True,True,True
haiku,incident,80,v5item37,72,True,True,True
haiku,incident,80,v5item39,84,True,True,False
haiku,incident,80,v5item41,73,True,True,True
haiku,incident,80,v5item44,72,True,True,False
haiku,incident,80,v5item48,76,True,True,True
haiku,incident,80,v5item49,83,True,True,True
haiku,incident,80,v5item53,79,True,True,True
haiku,incident,80,v5item55,81,True,True,False
gpt,incident,5,v5item00,6,False,True,False
gpt,incident,5,v5item01,5,False,True,False
gpt,incident,5,v5item03,5,False,True,False
gpt,incident,5,v5item06,5,False,True,False
gpt,incident,5,v5item07,6,False,True,False
gpt,incident,5,v5item09,6,False,True,False
gpt,incident,5,v5item10,5,False,True,False
gpt,incident,5,v5item11,5,False,True,True
gpt,incident,5,v5item12,5,False,True,False
gpt,incident,5,v5item15,5,False,True,False
gpt,incident,5,v5item19,5,False,True,False
gpt,incident,5,v5item21,5,False,True,False
gpt,incident,5,v5item22,5,False,True,False
gpt,incident,5,v5item23,5,False,True,False
gpt,incident,5,v5item24,6,False,True,False
gpt,incident,5,v5item25,5,False,True,False
gpt,incident,5,v5item26,5,False,True,False
gpt,incident,5,v5item27,6,False,True,False
gpt,incident,5,v5item30,5,False,True,False
gpt,incident,5,v5item32,5,False,True,False
gpt,incident,5,v5item34,5,False,True,False
gpt,incident,5,v5item36,6,False,True,False
gpt,incident,5,v5item37,11,False,True,False
gpt,incident,5,v5item39,5,False,True,False
gpt,incident,5,v5item41,5,False,True,True
gpt,incident,5,v5item44,5,False,True,False
gpt,incident,5,v5item48,6,False,True,False
gpt,incident,5,v5item49,5,False,True,False
gpt,incident,5,v5item53,5,False,True,False
gpt,incident,5,v5item55,6,False,True,False
gpt,incident,10,v5item00,10,False,True,False
gpt,incident,10,v5item01,11,False,True,False
gpt,incident,10,v5item03,10,False,True,False
gpt,incident,10,v5item06,11,False,True,False
gpt,incident,10,v5item07,10,False,True,False
gpt,incident,10,v5item09,10,False,True,False
gpt,incident,10,v5item10,11,False,True,False
gpt,incident,10,v5item11,11,False,True,True
gpt,incident,10,v5item12,11,False,True,False
gpt,incident,10,v5item15,10,False,True,False
gpt,incident,10,v5item19,9,False,True,False
gpt,incident,10,v5item21,10,False,True,False
gpt,incident,10,v5item22,9,False,True,False
gpt,incident,10,v5item23,10,False,True,False
gpt,incident,10,v5item24,10,False,True,False
gpt,incident,10,v5item25,12,False,True,True
gpt,incident,10,v5item26,10,False,True,True
gpt,incident,10,v5item27,11,False,True,False
gpt,incident,10,v5item30,10,False,True,False
gpt,incident,10,v5item32,9,False,True,False
gpt,incident,10,v5item34,11,False,True,False
gpt,incident,10,v5item36,9,False,True,False
gpt,incident,10,v5item37,10,False,True,False
gpt,incident,10,v5item39,9,False,True,False
gpt,incident,10,v5item41,10,False,True,False
gpt,incident,10,v5item44,10,False,True,False
gpt,incident,10,v5item48,10,False,True,False
gpt,incident,10,v5item49,17,False,True,False
gpt,incident,10,v5item53,10,False,True,False
gpt,incident,10,v5item55,10,False,True,False
gpt,incident,15,v5item00,13,False,True,False
gpt,incident,15,v5item01,17,False,True,False
gpt,incident,15,v5item03,14,False,True,True
gpt,incident,15,v5item06,15,False,True,False
gpt,incident,15,v5item07,15,False,False,False
gpt,incident,15,v5item09,15,True,True,True
gpt,incident,15,v5item10,17,False,True,False
gpt,incident,15,v5item11,16,False,True,False
gpt,incident,15,v5item12,14,False,True,True
gpt,incident,15,v5item15,14,False,True,False
gpt,incident,15,v5item19,17,False,True,False
gpt,incident,15,v5item21,15,False,True,False
gpt,incident,15,v5item22,17,False,True,True
gpt,incident,15,v5item23,15,False,True,False
gpt,incident,15,v5item24,16,False,True,False
gpt,incident,15,v5item25,14,False,True,True
gpt,incident,15,v5item26,17,False,True,False
gpt,incident,15,v5item27,14,False,True,False
gpt,incident,15,v5item30,15,False,True,False
gpt,incident,15,v5item32,16,False,True,False
gpt,incident,15,v5item34,15,False,True,False
gpt,incident,15,v5item36,15,False,True,True
gpt,incident,15,v5item37,16,False,True,False
gpt,incident,15,v5item39,16,False,True,False
gpt,incident,15,v5item41,14,False,True,False
gpt,incident,15,v5item44,15,False,True,False
gpt,incident,15,v5item48,15,False,True,False
gpt,incident,15,v5item49,15,False,True,False
gpt,incident,15,v5item53,15,False,True,False
gpt,incident,15,v5item55,17,False,True,True
gpt,incident,25,v5item00,24,False,True,False
gpt,incident,25,v5item01,39,False,True,False
gpt,incident,25,v5item03,30,True,True,True
gpt,incident,25,v5item06,31,False,True,False
gpt,incident,25,v5item07,23,False,False,False
gpt,incident,25,v5item09,29,True,True,True
gpt,incident,25,v5item10,41,True,True,False
gpt,incident,25,v5item11,71,True,True,True
gpt,incident,25,v5item12,25,False,False,False
gpt,incident,25,v5item15,27,False,True,False
gpt,incident,25,v5item19,36,True,True,True
gpt,incident,25,v5item21,27,False,True,False
gpt,incident,25,v5item22,29,False,False,True
gpt,incident,25,v5item23,29,True,True,True
gpt,incident,25,v5item24,29,False,True,False
gpt,incident,25,v5item25,27,False,True,False
gpt,incident,25,v5item26,25,False,True,False
gpt,incident,25,v5item27,26,False,True,False
gpt,incident,25,v5item30,38,False,True,False
gpt,incident,25,v5item32,56,True,True,True
gpt,incident,25,v5item34,25,False,True,False
gpt,incident,25,v5item36,22,False,True,True
gpt,incident,25,v5item37,27,False,True,False
gpt,incident,25,v5item39,25,False,False,False
gpt,incident,25,v5item41,24,False,True,False
gpt,incident,25,v5item44,25,False,True,False
gpt,incident,25,v5item48,28,False,False,False
gpt,incident,25,v5item49,30,False,True,False
gpt,incident,25,v5item53,27,False,False,False
gpt,incident,25,v5item55,24,False,True,False
gpt,incident,40,v5item00,42,True,True,True
gpt,incident,40,v5item01,51,True,True,True
gpt,incident,40,v5item03,66,True,True,True
gpt,incident,40,v5item06,36,False,True,False
gpt,incident,40,v5item07,44,False,True,False
gpt,incident,40,v5item09,48,True,True,True
gpt,incident,40,v5item10,51,True,True,False
gpt,incident,40,v5item11,72,True,True,True
gpt,incident,40,v5item12,42,True,True,True
gpt,incident,40,v5item15,66,True,True,True
gpt,incident,40,v5item19,56,True,True,True
gpt,incident,40,v5item21,53,False,True,False
gpt,incident,40,v5item22,71,True,True,True
gpt,incident,40,v5item23,70,True,True,True
gpt,incident,40,v5item24,51,True,True,True
gpt,incident,40,v5item25,49,True,True,True
gpt,incident,40,v5item26,42,False,True,True
gpt,incident,40,v5item27,64,True,True,True
gpt,incident,40,v5item30,40,False,True,False
gpt,incident,40,v5item32,54,True,True,True
gpt,incident,40,v5item34,56,True,True,True
gpt,incident,40,v5item36,46,True,True,True
gpt,incident,40,v5item37,45,True,True,True
gpt,incident,40,v5item39,39,False,True,True
gpt,incident,40,v5item41,42,True,True,True
gpt,incident,40,v5item44,53,True,True,True
gpt,incident,40,v5item48,43,False,False,True
gpt,incident,40,v5item49,65,True,True,True
gpt,incident,40,v5item53,40,False,True,False
gpt,incident,40,v5item55,41,False,True,False
gpt,incident,60,v5item00,52,True,True,True
gpt,incident,60,v5item01,57,True,True,True
gpt,incident,60,v5item03,62,True,True,True
gpt,incident,60,v5item06,70,True,True,True
gpt,incident,60,v5item07,63,True,True,True
gpt,incident,60,v5item09,57,True,True,True
gpt,incident,60,v5item10,59,True,True,True
gpt,incident,60,v5item11,85,True,True,True
gpt,incident,60,v5item12,59,True,True,True
gpt,incident,60,v5item15,61,False,True,True
gpt,incident,60,v5item19,68,True,True,True
gpt,incident,60,v5item21,69,True,True,True
gpt,incident,60,v5item22,68,True,True,True
gpt,incident,60,v5item23,78,True,True,True
gpt,incident,60,v5item24,76,True,True,True
gpt,incident,60,v5item25,53,True,True,True
gpt,incident,60,v5item26,62,False,True,True
gpt,incident,60,v5item27,71,True,True,True
gpt,incident,60,v5item30,68,False,True,False
gpt,incident,60,v5item32,71,True,True,True
gpt,incident,60,v5item34,65,True,True,True
gpt,incident,60,v5item36,68,True,True,True
gpt,incident,60,v5item37,59,True,True,True
gpt,incident,60,v5item39,73,True,True,True
gpt,incident,60,v5item41,65,True,True,True
gpt,incident,60,v5item44,62,True,True,True
gpt,incident,60,v5item48,65,True,True,True
gpt,incident,60,v5item49,63,True,True,True
gpt,incident,60,v5item53,83,True,True,True
gpt,incident,60,v5item55,61,False,False,False
gpt,incident,80,v5item00,80,True,True,True
gpt,incident,80,v5item01,72,True,True,True
gpt,incident,80,v5item03,86,True,True,True
gpt,incident,80,v5item06,78,True,True,True
gpt,incident,80,v5item07,78,True,True,True
gpt,incident,80,v5item09,76,True,True,True
gpt,incident,80,v5item10,76,True,True,True
gpt,incident,80,v5item11,93,True,True,True
gpt,incident,80,v5item12,73,True,True,True
gpt,incident,80,v5item15,95,True,True,True
gpt,incident,80,v5item19,96,True,True,True
gpt,incident,80,v5item21,88,True,True,True
gpt,incident,80,v5item22,81,True,True,True
gpt,incident,80,v5item23,88,True,True,True
gpt,incident,80,v5item24,99,True,True,True
gpt,incident,80,v5item25,70,True,True,True
gpt,incident,80,v5item26,96,True,True,True
gpt,incident,80,v5item27,74,True,True,True
gpt,incident,80,v5item30,91,True,True,True
gpt,incident,80,v5item32,107,True,True,True
gpt,incident,80,v5item34,77,True,True,True
gpt,incident,80,v5item36,74,True,True,True
gpt,incident,80,v5item37,75,True,False,True
gpt,incident,80,v5item39,92,True,True,True
gpt,incident,80,v5item41,81,True,True,True
gpt,incident,80,v5item44,84,True,True,True
gpt,incident,80,v5item48,83,True,True,True
gpt,incident,80,v5item49,77,True,True,True
gpt,incident,80,v5item53,87,True,True,True
gpt,incident,80,v5item55,80,False,True,False
grok,clinical,5,clin04,5,False,True,False
grok,clinical,5,clin08,6,False,True,False
grok,clinical,5,clin10,5,False,True,False
grok,clinical,5,clin11,5,False,True,False
grok,clinical,5,clin12,5,False,True,False
grok,clinical,5,clin13,5,False,True,False
grok,clinical,5,clin14,6,False,True,False
grok,clinical,5,clin15,5,False,True,False
grok,clinical,5,clin16,5,False,True,False
grok,clinical,5,clin17,6,False,True,False
grok,clinical,5,clin20,5,False,True,False
grok,clinical,5,clin22,5,False,True,False
grok,clinical,5,clin23,6,False,True,False
grok,clinical,5,clin24,5,False,True,False
grok,clinical,5,clin25,5,False,True,True
grok,clinical,5,clin27,5,False,True,False
grok,clinical,5,clin30,6,False,True,False
grok,clinical,5,clin34,5,False,True,False
grok,clinical,5,clin35,6,False,True,False
grok,clinical,5,clin36,5,False,True,False
grok,clinical,5,clin41,7,False,True,False
grok,clinical,5,clin43,5,False,True,False
grok,clinical,5,clin45,5,False,True,False
grok,clinical,5,clin51,5,False,True,False
grok,clinical,5,clin52,5,False,True,False
grok,clinical,5,clin54,6,False,True,False
grok,clinical,5,clin55,5,False,True,False
grok,clinical,5,clin57,5,False,True,False
grok,clinical,5,clin58,5,False,True,False
grok,clinical,5,clin59,6,False,True,False
grok,clinical,10,clin04,25,True,True,True
grok,clinical,10,clin08,14,True,True,True
grok,clinical,10,clin10,9,False,True,False
grok,clinical,10,clin11,8,False,True,False
grok,clinical,10,clin12,10,False,True,False
grok,clinical,10,clin13,8,False,True,False
grok,clinical,10,clin14,7,False,True,False
grok,clinical,10,clin15,8,False,True,False
grok,clinical,10,clin16,9,False,True,True
grok,clinical,10,clin17,9,False,False,False
grok,clinical,10,clin20,8,False,True,False
grok,clinical,10,clin22,8,False,True,False
grok,clinical,10,clin23,8,False,True,False
grok,clinical,10,clin24,8,False,True,False
grok,clinical,10,clin25,8,False,True,False
grok,clinical,10,clin27,8,False,True,False
grok,clinical,10,clin30,9,False,True,False
grok,clinical,10,clin34,8,False,True,False
grok,clinical,10,clin35,9,False,True,False
grok,clinical,10,clin36,23,True,True,True
grok,clinical,10,clin41,11,True,True,True
grok,clinical,10,clin43,9,False,True,False
grok,clinical,10,clin45,11,False,True,False
grok,clinical,10,clin51,7,False,True,False
grok,clinical,10,clin52,9,False,True,False
grok,clinical,10,clin54,8,True,True,True
grok,clinical,10,clin55,9,False,True,False
grok,clinical,10,clin57,9,False,True,False
grok,clinical,10,clin58,8,False,True,False
grok,clinical,10,clin59,8,False,True,False
grok,clinical,15,clin04,26,True,True,True
grok,clinical,15,clin08,19,True,True,True
grok,clinical,15,clin10,13,False,True,False
grok,clinical,15,clin11,33,True,True,True
grok,clinical,15,clin12,36,True,True,True
grok,clinical,15,clin13,12,False,True,False
grok,clinical,15,clin14,27,True,True,True
grok,clinical,15,clin15,21,True,True,True
grok,clinical,15,clin16,18,True,True,True
grok,clinical,15,clin17,12,False,True,False
grok,clinical,15,clin20,14,False,False,False
grok,clinical,15,clin22,11,False,True,False
grok,clinical,15,clin23,14,False,True,True
grok,clinical,15,clin24,21,True,True,True
grok,clinical,15,clin25,13,False,True,False
grok,clinical,15,clin27,11,False,True,False
grok,clinical,15,clin30,30,True,True,True
grok,clinical,15,clin34,15,False,True,True
grok,clinical,15,clin35,11,False,True,False
grok,clinical,15,clin36,26,True,True,True
grok,clinical,15,clin41,17,True,True,True
grok,clinical,15,clin43,13,False,True,False
grok,clinical,15,clin45,12,False,True,False
grok,clinical,15,clin51,22,True,True,True
grok,clinical,15,clin52,11,False,True,False
grok,clinical,15,clin54,10,True,True,True
grok,clinical,15,clin55,19,False,True,True
grok,clinical,15,clin57,43,True,True,True
grok,clinical,15,clin58,19,True,True,True
grok,clinical,15,clin59,21,False,False,False
grok,clinical,25,clin04,39,True,True,True
grok,clinical,25,clin08,45,True,True,True
grok,clinical,25,clin10,40,True,True,True
