model,item,domain,truth,failing_param,summary_words,ret_policy,fail_retained,any_policy_lost,gist_flag,decision,decision_correct,which,which_raw,which_abstain,which_abstain_raw,which_correct,which_confab,abstained,repair_param,repair_ok,repair_specific,nn_decision,nn_decision_correct,incoherent
grok,v5item00,satellite launch,DENIED,propellant tank ullage pressure,21,0.6666666666666666,True,True,False,DENIED,True,propellant tank ullage pressure,ullage,propellant tank ullage pressure,ullage,True,False,False,propellant tank ullage pressure,True,True,DENIED,True,False
grok,v5item01,chemical batch release,DENIED,discharge line conductivity,19,0.3333333333333333,False,True,False,DENIED,True,nitrogen blanket pressure,nitrogen blanket pressure,nitrogen blanket pressure,nitrogen blanket pressure,False,True,False,nitrogen blanket pressure,False,True,DENIED,True,False
grok,v5item02,rail switch deployment,APPROVED,,30,0.6666666666666666,,True,False,APPROVED,True,NONE,NONE,NONE,NONE,True,False,False,,False,True,DENIED,False,False
grok,v5item03,data-center failover,DENIED,UPS reserve charge,29,1.0,True,False,True,DENIED,True,UPS reserve charge,UPS,UPS reserve charge,UPS,True,False,False,UPS reserve charge,True,True,DENIED,True,False
grok,v5item04,vaccine lot release,APPROVED,,26,0.6666666666666666,,True,False,APPROVED,True,NONE,NONE,NONE,NONE,True,False,False,adjuvant concentration ratio,True,True,DENIED,False,False
grok,v5item05,bridge load test,APPROVED,,21,1.0,,False,False,APPROVED,True,NONE,NONE,NONE,NONE,True,False,False,peak midspan deflection,True,True,DENIED,False,False
grok,v5item06,satellite launch,DENIED,umbilical retract time,11,0.0,False,True,True,DENIED,True,NONE,NONE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,False,False,True,telemetry downlink margin,False,True,DENIED,True,True
grok,v5item07,chemical batch release,DENIED,filtrate turbidity,15,0.0,False,True,False,DENIED,True,NONE,NONE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,False,False,True,reactor jacket temperature,False,True,DENIED,True,True
grok,v5item08,rail switch deployment,APPROVED,,18,1.0,,False,False,APPROVED,True,NONE,NONE,NONE,NONE,True,False,False,drive motor current draw,True,True,DENIED,False,False
grok,v5item09,data-center failover,DENIED,generator fuel reserve,27,1.0,True,False,True,DENIED,True,generator fuel reserve,fuel,generator fuel reserve,fuel,True,False,False,generator fuel reserve,True,True,DENIED,True,False
grok,v5item10,vaccine lot release,DENIED,label reconciliation rate,11,0.0,False,True,False,DENIED,True,NONE,NONE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,False,False,True,stability composite score,False,True,DENIED,True,True
grok,v5item11,bridge load test,DENIED,anchor bolt torque,15,0.0,False,True,False,DENIED,True,NONE,NONE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,False,False,True,anchor bolt torque,False,True,DENIED,True,True
grok,v5item12,satellite launch,DENIED,star tracker residual,30,1.0,True,False,False,DENIED,True,star tracker residual,star tracker,star tracker residual,star tracker,True,False,False,star tracker residual,True,True,DENIED,True,False
grok,v5item13,chemical batch release,APPROVED,,15,0.6666666666666666,,True,False,APPROVED,True,NONE,NONE,NONE,NONE,True,False,False,batch purity assay,True,True,DENIED,False,False
grok,v5item14,rail switch deployment,APPROVED,,13,0.0,,True,False,DENIED,False,NONE,NONE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,True,False,True,ballast compaction index,False,True,DENIED,False,True
grok,v5item15,data-center failover,DENIED,storage array rebuild margin,9,0.0,False,True,True,DENIED,True,NONE,NONE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,False,False,True,chilled water supply temperature,False,True,DENIED,True,True
grok,v5item16,vaccine lot release,APPROVED,,21,0.6666666666666666,,True,False,DENIED,False,NONE,NONE,NONE,NONE,True,False,False,potency assay result,True,True,DENIED,False,True
grok,v5item17,bridge load test,APPROVED,,20,0.6666666666666666,,True,False,APPROVED,True,NONE,NONE,NONE,NONE,True,False,False,pier settlement reading,True,True,DENIED,False,False
grok,v5item18,satellite launch,APPROVED,,14,0.0,,True,True,DENIED,False,NONE,NONE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,True,False,True,avionics bus load,True,True,DENIED,False,True
grok,v5item19,chemical batch release,DENIED,condenser outlet temperature,12,0.0,False,True,False,DENIED,True,NONE,NONE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,False,False,True,condenser outlet temperature,False,True,DENIED,True,True
grok,v5item20,rail switch deployment,APPROVED,,10,0.0,,True,False,DENIED,False,NONE,NONE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,True,False,True,ballast compaction index,False,True,DENIED,False,True
grok,v5item21,data-center failover,DENIED,chilled water supply temperature,10,0.0,False,True,True,DENIED,True,NONE,NONE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,False,False,True,rack inlet temperature,False,True,DENIED,True,True
grok,v5item22,vaccine lot release,DENIED,seal torque retention,16,0.3333333333333333,False,True,False,DENIED,True,NONE,NONE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,False,False,True,seal torque retention,True,True,DENIED,True,True
grok,v5item23,bridge load test,DENIED,rebar cover depth,33,1.0,True,False,False,DENIED,True,rebar cover depth,rebar cover depth,rebar cover depth,rebar cover depth,True,False,False,rebar cover depth,True,True,DENIED,True,False
grok,v5item24,satellite launch,DENIED,backup battery charge,10,0.0,False,True,True,DENIED,True,NONE,NONE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,False,False,True,guidance regression pass rate,False,True,DENIED,True,True
grok,v5item25,chemical batch release,DENIED,condenser outlet temperature,14,0.0,False,True,False,DENIED,True,NONE,NONE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,False,False,True,condenser outlet temperature,True,True,DENIED,True,True
grok,v5item26,rail switch deployment,DENIED,track gauge deviation,13,0.0,False,True,False,DENIED,True,NONE,NONE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,False,False,True,track gauge deviation,False,True,DENIED,True,True
grok,v5item27,data-center failover,DENIED,generator fuel reserve,40,1.0,True,False,True,DENIED,True,generator fuel reserve,fuel,generator fuel reserve,fuel,True,False,False,generator fuel reserve,True,True,DENIED,True,False
grok,v5item28,vaccine lot release,APPROVED,,26,0.6666666666666666,,True,False,APPROVED,True,NONE,NONE,NONE,NONE,True,False,False,seal torque retention,True,True,DENIED,False,False
grok,v5item29,bridge load test,APPROVED,,17,0.0,,True,False,DENIED,False,NONE,NONE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,True,False,True,maximum crack width,False,True,DENIED,False,True
grok,v5item30,satellite launch,DENIED,sensor calibration offset,12,0.0,False,True,True,DENIED,True,NONE,NONE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,False,False,True,umbilical retract time,False,True,DENIED,True,True
grok,v5item31,chemical batch release,APPROVED,,10,0.0,,True,False,DENIED,False,NONE,NONE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,True,False,True,filtrate turbidity,False,True,DENIED,False,True
grok,v5item32,rail switch deployment,DENIED,interlock relay voltage,36,1.0,True,False,False,DENIED,True,interlock relay voltage,relay,interlock relay voltage,relay,True,False,False,interlock relay voltage,True,True,DENIED,True,False
grok,v5item33,data-center failover,APPROVED,,15,0.3333333333333333,,True,True,DENIED,False,NONE,NONE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,True,False,True,UPS reserve charge,False,True,DENIED,False,True
grok,v5item34,vaccine lot release,DENIED,particulate burden index,13,0.0,False,True,True,APPROVED,False,NONE,NONE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,False,False,True,endotoxin level,False,True,DENIED,True,False
grok,v5item35,bridge load test,APPROVED,,22,0.6666666666666666,,True,False,APPROVED,True,NONE,NONE,NONE,NONE,True,False,False,grout compressive margin,False,True,DENIED,False,False
grok,v5item36,satellite launch,DENIED,telemetry downlink margin,17,0.3333333333333333,False,True,False,APPROVED,False,NONE,NONE,NONE,NONE,False,False,False,,False,True,DENIED,True,False
grok,v5item37,chemical batch release,DENIED,catalyst moisture content,16,0.0,False,True,False,DENIED,True,NONE,NONE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,False,False,True,filtrate turbidity,False,True,DENIED,True,True
grok,v5item38,rail switch deployment,APPROVED,,18,0.3333333333333333,,True,False,DENIED,False,point blade wear,point blade wear,point blade wear,point blade wear,False,True,False,cable insulation resistance,False,True,DENIED,False,False
grok,v5item39,data-center failover,DENIED,DNS failover propagation time,18,0.3333333333333333,False,True,True,APPROVED,False,NONE,NONE,NONE,NONE,False,False,False,DNS failover propagation time,False,True,DENIED,True,False
grok,v5item40,vaccine lot release,APPROVED,,17,0.6666666666666666,,True,False,APPROVED,True,NONE,NONE,NONE,NONE,True,False,False,endotoxin level,True,True,DENIED,False,False
grok,v5item41,bridge load test,DENIED,gust speed during test,18,0.3333333333333333,False,True,False,DENIED,True,NONE,NONE,NONE,NONE,False,False,False,concrete core strength,False,True,DENIED,True,True
grok,v5item42,satellite launch,APPROVED,,22,1.0,,False,False,APPROVED,True,NONE,NONE,NONE,NONE,True,False,False,avionics bus load,True,True,DENIED,False,False
grok,v5item43,chemical batch release,APPROVED,,18,0.3333333333333333,,True,False,APPROVED,True,NONE,NONE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,True,False,True,nitrogen blanket pressure,True,True,DENIED,False,False
grok,v5item44,rail switch deployment,DENIED,lubrication film thickness,16,0.0,False,True,False,DENIED,True,point blade wear,point blade wear,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,False,True,True,point blade wear,False,True,DENIED,True,False
grok,v5item45,data-center failover,APPROVED,,12,0.0,,True,True,DENIED,False,NONE,NONE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,True,False,True,replication lag,False,True,DENIED,False,True
grok,v5item46,vaccine lot release,APPROVED,,17,0.0,,True,False,DENIED,False,cumulative cold-chain excursion,excursions,cumulative cold-chain excursion,excursions,False,True,False,cumulative cold-chain excursion,False,True,DENIED,False,False
grok,v5item47,bridge load test,APPROVED,,25,0.0,,True,False,DENIED,False,expansion joint gap,expansion joint gap,expansion joint gap,expansion joint gap,False,True,False,expansion joint gap,False,True,DENIED,False,False
grok,v5item48,satellite launch,DENIED,thermal blanket coverage,11,0.0,False,True,False,DENIED,True,NONE,NONE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,False,False,True,thermal blanket coverage,False,True,DENIED,True,True
grok,v5item49,chemical batch release,DENIED,condenser outlet temperature,30,0.3333333333333333,False,True,False,DENIED,True,QA composite audit score,QA,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,False,True,True,seal integrity margin,False,True,DENIED,True,False
grok,v5item50,rail switch deployment,APPROVED,,21,0.0,,True,False,DENIED,False,detection loop sensitivity,detection loop sensitivity,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,False,True,True,detection loop sensitivity,False,True,DENIED,False,False
grok,v5item51,data-center failover,APPROVED,,34,1.0,,False,True,APPROVED,True,NONE,NONE,NONE,NONE,True,False,False,standby link utilization,True,True,DENIED,False,False
grok,v5item52,vaccine lot release,APPROVED,,15,0.3333333333333333,,True,False,APPROVED,True,NONE,NONE,NONE,NONE,True,False,False,stability composite score,True,True,DENIED,False,False
grok,v5item53,bridge load test,DENIED,expansion joint gap,16,0.0,False,True,False,DENIED,True,NONE,NONE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,False,False,True,load distribution factor,False,True,DENIED,True,True
grok,v5item54,satellite launch,APPROVED,,21,0.3333333333333333,,True,False,DENIED,False,NONE,NONE,guidance regression pass rate,guidance regression pass rate,True,False,False,guidance regression pass rate,True,True,DENIED,False,True
grok,v5item55,chemical batch release,DENIED,seal integrity margin,25,0.3333333333333333,True,True,False,DENIED,True,seal integrity margin,seal integrity margin,seal integrity margin,seal integrity margin,True,False,False,seal integrity margin,True,True,DENIED,True,False
grok,v5item56,rail switch deployment,APPROVED,,18,0.0,,True,False,DENIED,False,NONE,NONE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,True,False,True,lubrication film thickness,False,True,DENIED,False,True
grok,v5item57,data-center failover,APPROVED,,14,0.0,,True,True,DENIED,False,NONE,NONE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,True,False,True,generator fuel reserve,False,True,DENIED,False,True
grok,v5item58,vaccine lot release,APPROVED,,16,0.0,,True,False,DENIED,False,NONE,NONE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,True,False,True,lyophilization residual moisture,False,True,DENIED,False,True
grok,v5item59,bridge load test,APPROVED,,34,0.6666666666666666,,True,False,APPROVED,True,NONE,NONE,NONE,NONE,True,False,False,grout compressive margin,True,True,DENIED,False,False
haiku,v5item00,satellite launch,DENIED,propellant tank ullage pressure,22,1.0,True,False,False,DENIED,True,propellant tank ullage pressure,propellant tank ullage pressure,propellant tank ullage pressure,propellant ullage,True,False,False,propellant tank ullage pressure,True,True,APPROVED,False,False
haiku,v5item01,chemical batch release,DENIED,discharge line conductivity,17,0.0,False,True,False,DENIED,True,UNMATCHED,s. The notes only mention:,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,False,False,True,,False,False,DENIED,True,False
haiku,v5item02,rail switch deployment,APPROVED,,18,0.0,,True,False,DENIED,False,UNMATCHED,s required by the policy:,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,False,False,True,signal alignment error,True,True,DENIED,False,False
haiku,v5item03,data-center failover,DENIED,UPS reserve charge,25,0.6666666666666666,True,True,True,DENIED,True,UPS reserve charge,UPS reserve charge,UPS reserve charge,UPS,True,False,False,UPS reserve charge,True,True,DENIED,True,False
haiku,v5item04,vaccine lot release,APPROVED,,23,0.6666666666666666,,True,True,APPROVED,True,UNMATCHED,prevents approval,sterility clarity index,sterility clarity index,False,False,False,sterility clarity index,False,True,DENIED,False,False
haiku,v5item05,bridge load test,APPROVED,,47,1.0,,False,False,APPROVED,True,NONE,NONE,NONE,NONE,True,False,False,pier settlement reading,True,True,DENIED,False,False
haiku,v5item06,satellite launch,DENIED,umbilical retract time,15,0.0,False,True,False,DENIED,True,UNMATCHED,s,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,False,False,True,telemetry downlink margin,False,True,DENIED,True,False
haiku,v5item07,chemical batch release,DENIED,filtrate turbidity,19,0.3333333333333333,False,True,False,DENIED,True,UNMATCHED,s specified in the policy against the case notes:,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,False,False,True,catalyst moisture content,False,True,DENIED,True,False
haiku,v5item08,rail switch deployment,APPROVED,,23,1.0,,False,False,DENIED,False,NONE,NONE,NONE,NONE,True,False,False,signal alignment error,True,True,DENIED,False,True
haiku,v5item09,data-center failover,DENIED,generator fuel reserve,17,0.6666666666666666,True,True,True,DENIED,True,generator fuel reserve,generator,generator fuel reserve,generator,True,False,False,generator fuel reserve,True,True,DENIED,True,False
haiku,v5item10,vaccine lot release,DENIED,label reconciliation rate,20,0.0,False,True,False,DENIED,True,UNMATCHED,s:,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,False,False,True,stability composite score,False,True,DENIED,True,False
haiku,v5item11,bridge load test,DENIED,anchor bolt torque,19,0.0,False,True,False,DENIED,True,UNMATCHED,s:,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,False,False,True,anchor bolt torque,False,True,DENIED,True,False
haiku,v5item12,satellite launch,DENIED,star tracker residual,24,1.0,True,False,False,DENIED,True,star tracker residual,star tracker residual,star tracker residual,star tracker,True,False,False,star tracker residual,True,True,APPROVED,False,False
haiku,v5item13,chemical batch release,APPROVED,,17,0.3333333333333333,,True,False,DENIED,False,NONE,NONE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,True,False,True,,False,True,DENIED,False,True
haiku,v5item14,rail switch deployment,APPROVED,,19,0.0,,True,False,DENIED,False,,,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,False,False,True,ballast compaction index,True,True,DENIED,False,False
haiku,v5item15,data-center failover,DENIED,storage array rebuild margin,19,0.0,False,True,True,DENIED,True,UNMATCHED,"s are present in the case notes, I cannot definitively determine which parameter caused a denial. However, the policy states the cutover is APPROVED only if ALL three conditions are met. Without the required data, the decision cannot be APPROVED",INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,False,False,True,chilled water supply temperature,False,True,DENIED,True,False
haiku,v5item16,vaccine lot release,APPROVED,,26,0.6666666666666666,,True,True,DENIED,False,UNMATCHED,that prevents approval,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,False,False,True,diluent conductivity,True,True,DENIED,False,False
haiku,v5item17,bridge load test,APPROVED,,27,1.0,,False,False,APPROVED,True,NONE,NONE,NONE,NONE,True,False,False,pier settlement reading,True,True,DENIED,False,False
haiku,v5item18,satellite launch,APPROVED,,19,0.3333333333333333,,True,False,DENIED,False,UNMATCHED,"s missing/unverified, the launch cannot be approved",INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,False,False,True,guidance regression pass rate,False,True,DENIED,False,False
haiku,v5item19,chemical batch release,DENIED,condenser outlet temperature,45,0.3333333333333333,True,True,False,DENIED,True,condenser outlet temperature,condenser outlet temperature,condenser outlet temperature,condenser outlet temperature,True,False,False,condenser outlet temperature,True,True,DENIED,True,False
haiku,v5item20,rail switch deployment,APPROVED,,36,1.0,,False,True,APPROVED,True,NONE,NONE,NONE,NONE,True,False,False,signal alignment error,True,True,DENIED,False,False
haiku,v5item21,data-center failover,DENIED,chilled water supply temperature,14,0.0,False,True,True,DENIED,True,UNMATCHED,s,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,False,False,True,packet loss on the interconnect,False,True,DENIED,True,False
haiku,v5item22,vaccine lot release,DENIED,seal torque retention,20,1.0,True,False,False,DENIED,True,seal torque retention,seal torque,seal torque retention,seal torque,True,False,False,,False,True,DENIED,True,False
haiku,v5item23,bridge load test,DENIED,rebar cover depth,27,1.0,True,False,False,DENIED,True,rebar cover depth,rebar cover,rebar cover depth,rebar cover,True,False,False,rebar cover depth,True,True,DENIED,True,False
haiku,v5item24,satellite launch,DENIED,backup battery charge,21,0.3333333333333333,True,True,False,DENIED,True,backup battery charge,backup battery,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,True,False,True,backup battery charge,True,True,DENIED,True,False
haiku,v5item25,chemical batch release,DENIED,condenser outlet temperature,15,0.0,False,True,False,DENIED,True,UNMATCHED,readings:,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,False,False,True,condenser outlet temperature,False,True,DENIED,True,False
haiku,v5item26,rail switch deployment,DENIED,track gauge deviation,18,0.0,False,True,False,DENIED,True,UNMATCHED,s:,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,False,False,True,,False,True,DENIED,True,False
haiku,v5item27,data-center failover,DENIED,generator fuel reserve,39,1.0,True,False,True,DENIED,True,generator fuel reserve,generator fuel,generator fuel reserve,generator fuel,True,False,False,generator fuel reserve,True,True,DENIED,True,False
haiku,v5item28,vaccine lot release,APPROVED,,18,0.0,,True,False,DENIED,False,NONE,NONE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,True,False,True,seal torque retention,False,True,DENIED,False,True
haiku,v5item29,bridge load test,APPROVED,,19,0.3333333333333333,,True,False,DENIED,False,UNMATCHED,that caused the denial is the crack width,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,False,False,True,maximum crack width,False,True,DENIED,False,False
haiku,v5item30,satellite launch,DENIED,sensor calibration offset,17,0.0,False,True,False,DENIED,True,UNMATCHED,s. They only describe the general status as nominal with no issues noted,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,False,False,True,umbilical retract time,False,True,DENIED,True,False
haiku,v5item31,chemical batch release,APPROVED,,21,0.0,,True,False,DENIED,False,UNMATCHED,s:,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,False,False,True,filtrate turbidity,True,True,DENIED,False,False
haiku,v5item32,rail switch deployment,DENIED,interlock relay voltage,20,0.0,False,True,False,DENIED,True,UNMATCHED,"s (cable insulation resistance, track gauge deviation, or interlock relay voltage) are present in the case notes. Since the required measurements are not provided, I cannot verify that the conditions are met",INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,False,False,True,cable insulation resistance,False,True,DENIED,True,False
